,region,location,activity,title,description,price,rating,review_count,duration,url,description_clean,general
0,Luzon,Palawan,Day Trips,Underground River Day Trips from Puerto Princesa City,"Discover Puerto Princesa Subterranean River National Park on a full-day tour that includes an underground river cruise and lunch, with the option to add an exciting caving and ziplining experience. Including door-to-door transport from hotels in downtown Puerto Princesa, this underground river tour takes the hassle out of exploring a fascinating landscape of caves, forests, and sea coast.",2820.81,4.5,104,6,https://www.tripadvisor.com.ph/AttractionProductReview-g294255-d11478662-Underground_River_Day_Trip_from_Puerto_Princesa_City-Palawan_Island_Palawan_Provin.html,Discover Puerto Princesa Subterranean River National Park fullday tour includes underground river cruise lunch option add exciting caving ziplining experience Including doortodoor transport hotels downtown Puerto Princesa underground river tour takes hassle exploring fascinating landscape caves forests sea coast,Tours
1,Visayas,Cebu,Snorkeling,Whale Shark Encounter and Sumilon Sandbar with Kawasan Falls,"An amazing experience. It was a very long day, 3.30am pick-up and then a 2hr+ hectic drive to Oslob. Long queues to buy whale shark tickets, but we got our tickets and then had time for our breakfast, that was basic but tasty. The WHALE shark experience was absolutely out of this world.   After a boat trip to Sumilon Sandbar (wasn't too impressed with this, way too many people on a tiny white beach), we visited the 1st of the 2 waterfalls. Tumalog was a very steep walk down a road, but so so beautiful. We took a bike back up. The hill is so steep, you can easily fall over. Last was Kawasan Falls - we were totally unprepared for this bit. It was amazing, but you need to prepare. It was about a 5kms walk along/through the river/pools and over rocks. Make sure you have good water shoes that are easy to walk in. Take your possessions (few) in a waterproof bag and take water, also money as there are a few vendors along the way. We were shattered after the walk, but it was an amazing experience. Next was the very long 2hr+ drive back. I would recommend that you actually stay for a night or 2 in the area to fully utilize all the activities in this area.",8922.98,4.5,83,6,https://www.tripadvisor.com.ph/AttractionProductReview-g298460-d17460574-Whale_Shark_Encounter_and_Sumilon_Sandbar_with_Kawasan_Falls-Cebu_City_Cebu_Island.html,amazing experience long day 330am pickup 2hr hectic drive Oslob Long queues buy whale shark tickets got tickets time breakfast basic tasty WHALE shark experience absolutely world boat trip Sumilon Sandbar wasnt impressed way many people tiny white beach visited 1st 2 waterfalls Tumalog steep walk road beautiful took bike back hill steep easily fall Last Kawasan Falls totally unprepared bit amazing need prepare 5kms walk alongthrough riverpools rocks Make sure good water shoes easy walk Take possessions waterproof bag take water also money vendors along way shattered walk amazing experience Next long 2hr drive back would recommend actually stay night 2 area fully utilize activities area,Water Activities
2,Luzon,Metro Manila,Day Trips,Amazing Manila - Tagaytay Full Day Sightseeing Tour with transfers updated 2023,"Thanks again to the amazing staff Sean (Lead Tour Guide), Dan (Trainee Tour Guide), and Marvin (Driver) for the wonderful day. We had limited amount of time in Manila and had wanted to do a Day Trips while seeing a bit of Manila and this trip gave us all of that and more!We started the day in Manila in Intramuros (historic walled area). Good amount of history if that's what you're after and it felt like we were in Europe with the architecture.We then drove to Tagaytay. Views were fantastic. Since we were a private tour Sean suggested we take a boat ride to Taal! Sean really cared and ensured we got the most out of our day. Although I wish this was a bit more organized and the itinerary of options were more clearly outlined, but this ended up being the best part of the tour. The water was very calm, the boat ride was scenic, and the feeling of being so close to a live volcano was incredible. The experience was enriched by the stories of the locals (boat driver) and how their lives were impacted by the volcanic eruptions and how resilient people needed to be while still remaining inhabitants of the surrounding area. Also kudos to our driver Marvin for getting us everywhere on time. We had strict time deadlines and we got back exactly on time. Very much appreciated.Overall, if you want a taste of the city and nature with panoramic views then this is your trip. Would definitely book something with YOLO tours next time we're back in the Philippines everyone was very professional and booking was seamless.",7483.79,5,47,7,https://www.tripadvisor.com.ph/AttractionProductReview-g298573-d17687557-Amazing_Manila_Tagaytay_Full_Day_Sightseeing_Tour_with_transfers_updated_2023-Mani.html,Thanks amazing staff Sean Lead Tour Guide Dan Trainee Tour Guide Marvin Driver wonderful day limited amount time Manila wanted Day Trips seeing bit Manila trip gave us moreWe started day Manila Intramuros historic walled area Good amount history thats youre felt like Europe architectureWe drove Tagaytay Views fantastic Since private tour Sean suggested take boat ride Taal Sean really cared ensured got day Although wish bit organized itinerary options clearly outlined ended best part tour water calm boat ride scenic feeling close live volcano incredible experience enriched stories locals boat driver lives impacted volcanic eruptions resilient people needed still remaining inhabitants surrounding area Also kudos driver Marvin getting us everywhere time strict time deadlines got back exactly time much appreciatedOverall want taste city nature panoramic views trip Would definitely book something YOLO tours next time back Philippines everyone professional booking seamless,Tours
3,Luzon,Palawan,Ziplining,"3-in-1 Adventure: Underground River, Zipline ride, and Mangrove Forest Tour","Get the most out of your trip to the world-famous Underground River by booking this 3-in-1 adventure. Aside from the tour inside the cave, you'll also get to experience a zip line flight over the sea, and a tour in a mangrove forest. 

The entire package includes a buffet lunch, served in one of the restaurants in Sabang. Pick up and drop off at most hotels in Puerto Princesa is also included.",4029.73,4.5,9,8,https://www.tripadvisor.com.ph/AttractionProductReview-g294255-d20080231-3_in_1_Adventure_Underground_River_Zipline_ride_and_Mangrove_Forest_Tour-Palawan_I.html,Get trip worldfamous Underground River booking 3in1 adventure Aside tour inside cave youll also get experience zip line flight sea tour mangrove forest entire package includes buffet lunch served one restaurants Sabang Pick drop hotels Puerto Princesa also included,Outdoor Activities
4,Luzon,Palawan,Day Trips,El Nido Island Hopping Day Tour from Puerto Princesa City,"Enjoy an island hopping experience in El Nido even if your hotel is in Puerto Princesa. This full-day activity will take you to El Nido's famous islands and beaches. Pick up starts at around 3AM, and you'll be back to your hotel by midnight. Lunch will be served in one of the island destinations.",11455.96,5,1,18,https://www.tripadvisor.com.ph/AttractionProductReview-g294257-d20370815-El_Nido_Island_Hopping_Day_Tour_from_Puerto_Princesa_City-Puerto_Princesa_Palawan_.html,Enjoy island hopping experience El Nido even hotel Puerto Princesa fullday activity take El Nidos famous islands beaches Pick starts around 3AM youll back hotel midnight Lunch served one island destinations,Tours
5,Visayas,Bohol,Day Trips,Chocolate hills tour with Tarsier & Loboc river Buffet Lunch (half-day tour),"We booked the tour as a family of 5 and really enjoyed the structure the tour gave us. We were only in Bohol for a couple days so this tour allowed us to see all the sights we wanted over the course of a day.We were pleasantly surprised to see we had a van and tour guide all to ourselves, allowing us to go at our own pace. Our tour guide was knowledgable, kind and very patient as he waited for us while we took a 1 hour ATV tour through the Chocolate Hills (the ATVs cost an addition 5000 for 5 people).All in all a little pricey but worth the price if you're only in Bohol for a short period of time! Definitely saved us the hassle of figuring out how to get from one place to another.",4114.36,5,13,5,https://www.tripadvisor.com.ph/AttractionProductReview-g1072126-d20101030-Chocolate_hills_tour_with_Tarsier_Loboc_river_Buffet_Lunch_half_day_tour-Balicasa.html,booked tour family 5 really enjoyed structure tour gave us Bohol couple days tour allowed us see sights wanted course dayWe pleasantly surprised see van tour guide allowing us go pace tour guide knowledgable kind patient waited us took 1 hour ATV tour Chocolate Hills ATVs cost addition 5000 5 peopleAll little pricey worth price youre Bohol short period time Definitely saved us hassle figuring get one place another,Tours
6,Visayas,Cebu,Canyoneering,Canyoneering Experience in Kawasan Falls with Lunch,"This is an amazing and exhilarating experience, starting out with a zip line and then about 2 hrs of jumps and clambering through pools and waterfalls. The highest jumps are optional! Thank you very much to our guide who helped me over the all tricky bits of rock whenever I was nervous. At the end of the tour, you go to Toto?ÅEEEEEEEE???ÅEEEEEEEEs house and his wife cooked us the tastiest meal we have had in the Philippines, which would be worth the fee in itself. Thank you very much! Between my partner and I we have nut allergy and vegetarian dietary requirements, and there was absolutely no problem - just lots of very delicious food. Don?ÅEEEEEEEE???ÅEEEEEEEEt hesitate to book this tour!",2187.57,5,54,3,https://www.tripadvisor.com.ph/AttractionProductReview-g294261-d20185984-Canyoneering_Experience_in_Kawasan_Falls_with_Lunch-Cebu_Island_Visayas.html,amazing exhilarating experience starting zip line 2 hrs jumps clambering pools waterfalls highest jumps optional Thank much guide helped tricky bits rock whenever nervous end tour go TotoÅEEEEEEEEÅEEEEEEEEs house wife cooked us tastiest meal Philippines would worth fee Thank much partner nut allergy vegetarian dietary requirements absolutely problem lots delicious food DonÅEEEEEEEEÅEEEEEEEEt hesitate book tour,Outdoor Activities
7,Luzon,Palawan,Day Trips,El Nido Island Hopping Tour C,"TOUR A was amazing!  Thinking about traveling to the Philippines, El nido has to be a destination.  It's everything I was expecting and more.  5 stops,  great scenery, awesome tour guides and really good food.  Tour A Offered a variety of experiences.  Swimming,  snorkeling,  paddle boat,  entertainment (from the staff)  a sufficient amount of time at gorgeous beaches. Plan for 8 hours plus.  Fees are as expected so don't be that person to complain about government fees and stuff.  Just pay and injoy.",1842.16,5,6,6,https://www.tripadvisor.com.ph/AttractionProductReview-g294255-d16654698-El_Nido_Island_Hopping_Tour_C-Palawan_Island_Palawan_Province_Mimaropa.html,TOUR amazing Thinking traveling Philippines El nido destination everything expecting 5 stops great scenery awesome tour guides really good food Tour Offered variety experiences Swimming snorkeling paddle boat entertainment staff sufficient amount time gorgeous beaches Plan 8 hours plus Fees expected dont person complain government fees stuff pay injoy,Tours
8,Luzon,Metro Manila,Day Trips,Villa Escudero Coconut Plantation Day Trips with Buffet Lunch updated 2023,"Spend the day at Villa Escudero Resort, and a historic plantation tucked away amid breathtaking natural surroundings. Ride a buffalo cart to the human-made Labasin Falls for lunch, set at bamboo tables at the foot of the waterfall while the water laps your feet. Enjoy a post-meal rinse and visit an on-site family museum of artifacts and antique collections. Travel round-trip by air-conditioned vehicle

*** This area is for self-exploration.

*** Free pick up/drop off from your hotel in Makati, Taguig, Ermita (Manila), Malate(Manila), Las Pinas, Muntinlupa, and Pasay. additional charges will incur outside these areas",8347.31,5,3,8,https://www.tripadvisor.com.ph/AttractionProductReview-g298573-d18912110-Villa_Escudero_Coconut_Plantation_Day_Trip_with_Buffet_Lunch_updated_2023-Manila_M.html,Spend day Villa Escudero Resort historic plantation tucked away amid breathtaking natural surroundings Ride buffalo cart humanmade Labasin Falls lunch set bamboo tables foot waterfall water laps feet Enjoy postmeal rinse visit onsite family museum artifacts antique collections Travel roundtrip airconditioned vehicle area selfexploration Free pick updrop hotel Makati Taguig Ermita Manila MalateManila Las Pinas Muntinlupa Pasay additional charges incur outside areas,Tours
9,Luzon,Metro Manila,Day Trips,Half Day Tagaytay Sightseeing tour from Manila update 2023,"Take a quick trip to one of the most popular destination for locals, the picturesque city of Tagaytay

Enjoy breathtaking views of the serene Taal Lake and Taal Volcano from the top of the mountain

Experience a hassle-free journey in an air-conditioned vehicle and learn about the city from your guide",5181.09,4.5,14,4,https://www.tripadvisor.com.ph/AttractionProductReview-g298573-d19956576-Half_Day_Tagaytay_Sightseeing_tour_from_Manila_update_2023-Manila_Metro_Manila_Luz.html,Take quick trip one popular destination locals picturesque city Tagaytay Enjoy breathtaking views serene Taal Lake Taal Volcano top mountain Experience hasslefree journey airconditioned vehicle learn city guide,Tours
10,Luzon,Metro Manila,Hiking,Absolutely Stunning Mount Pinatubo Trek to the Crater (With Transfers**),"Start your Mt Pinatubo tour in the predawn hours for an early start on this full-day action-packed adventure. Combine a 4WD off-road experience with a hike to Pinatubo Crater where you?ÅEEEEEEEE???ÅEEEEEEEEre treated to supreme views of the emerald-colored lake. You?ÅEEEEEEEE???ÅEEEEEEEEll drive your 4x4 over terrain made of lahar?ÅEEEEEEEE???ÅEEEEEEEEthe mudflow remains of Mt Pinatubo?ÅEEEEEEEE???ÅEEEEEEEEs 1991 eruption?ÅEEEEEEEE???ÅEEEEEEEEthen follow the same routes back to base camp. You?ÅEEEEEEEE???ÅEEEEEEEEre rewarded with a Filipino-style lunch (and a shower) before hotel drop-off in Manila. Full-day Mt Pinatubo adventure from Manila Drive a 4x4 vehicle off road into a volcanic landscape Hike with an experienced guide past valley streams to Mt Pinatubo Crater Take in the breathtaking sights above the colorful crater lake Relax with a Filipino-style lunch. Round-trip hotel transport included

***currently the trail is around 7kms each way
",12089.2,5,18,12,https://www.tripadvisor.com.ph/AttractionProductReview-g298573-d18912111-Absolutely_Stunning_Mount_Pinatubo_Trek_to_the_Crater_With_Transfers-Manila_Metro_.html,Start Mt Pinatubo tour predawn hours early start fullday actionpacked adventure Combine 4WD offroad experience hike Pinatubo Crater youÅEEEEEEEEÅEEEEEEEEre treated supreme views emeraldcolored lake YouÅEEEEEEEEÅEEEEEEEEll drive 4x4 terrain made laharÅEEEEEEEEÅEEEEEEEEthe mudflow remains Mt PinatuboÅEEEEEEEEÅEEEEEEEEs 1991 eruptionÅEEEEEEEEÅEEEEEEEEthen follow routes back base camp YouÅEEEEEEEEÅEEEEEEEEre rewarded Filipinostyle lunch shower hotel dropoff Manila Fullday Mt Pinatubo adventure Manila Drive 4x4 vehicle road volcanic landscape Hike experienced guide past valley streams Mt Pinatubo Crater Take breathtaking sights colorful crater lake Relax Filipinostyle lunch Roundtrip hotel transport included currently trail around 7kms way,Tours
11,Luzon,Palawan,Day Trips,Puerto Princesa: UNESCO Underground River Day Tour,What an AMAZING day! The experience was well worth the cost of the tour. We enjoyed the mangrove tour and zip lining while waiting for our turn to go down the river. I recommend wearing water shoes (not flip flops) for the activities because your shoes WILL get wet.,2475.41,5,9,6,https://www.tripadvisor.com.ph/AttractionProductReview-g294257-d17403778-Puerto_Princesa_UNESCO_Underground_River_Day_Tour-Puerto_Princesa_Palawan_Island_P.html,AMAZING day experience well worth cost tour enjoyed mangrove tour zip lining waiting turn go river recommend wearing water shoes flip flops activities shoes get wet,Tours
12,Luzon,Metro Manila,Day Trips,Active Taal Volcano Experience 2023 With transfers from Manila***,"Through YOLO, we booked the tour: The Countryside. Our guides were Sean and Einstein and our driver was Mario. What an amazing crew! All 3 shared facts and stories about the events throughout the day. This was truly a 'group' experience where all (guests and guides) were actively engaged and participating. Felt like 'family'. The day was well organized and went smoothly to plan. We all enjoyed Buko pie together, tasting fruits and foods in a local market, viewing a small pineapple plantation, visiting People?ÅEEEEEEEE???ÅEEEEEEEEs Park in the Sky, a short jeepney ride up the hill, seeing the chapel and eating lunch. We ate lunch outside near Lake Taal and sat in a small typical house/hut made from Nipo palm. Sean explained what the lunch choices were (many local dishes). We learned much about the local active volcano and the recent eruption in 2020. We even stopped at a local volcano",8635.14,5,8,6,https://www.tripadvisor.com.ph/AttractionProductReview-g298573-d19901778-Active_Taal_Volcano_Experience_2023_With_transfers_from_Manila-Manila_Metro_Manila.html,YOLO booked tour Countryside guides Sean Einstein driver Mario amazing crew 3 shared facts stories events throughout day truly group experience guests guides actively engaged participating Felt like family day well organized went smoothly plan enjoyed Buko pie together tasting fruits foods local market viewing small pineapple plantation visiting PeopleÅEEEEEEEEÅEEEEEEEEs Park Sky short jeepney ride hill seeing chapel eating lunch ate lunch outside near Lake Taal sat small typical househut made Nipo palm Sean explained lunch choices many local dishes learned much local active volcano recent eruption 2020 even stopped local volcano,Tours
